#Fusion Locus Fused/NoFused Arm Telomere Terminal/InternalTEL GenDistToTEL DisplacementFromNEwrtWT
LC_IV_XII_cen12 chr2_11_96000_105600 NoFused armL TELL2 TerminalTEL 100800 10.723
LC_IV_XII_cen12 chr2_12_105600_115200 NoFused armL TELL2 TerminalTEL 110400 10.474
LC_IV_XII_cen12 chr2_13_115200_124800 NoFused armL CENTR2 TerminalTEL 116800 9.583
LC_IV_XII_cen12 chr2_14_124800_134400 NoFused armL CENTR2 TerminalTEL 107200 9.163
LC_IV_XII_cen12 chr2_15_134400_144000 NoFused armL CENTR2 TerminalTEL 97600 9.35
LC_IV_XII_cen12 chr2_16_144000_153600 NoFused armL CENTR2 TerminalTEL 88000 9.899
LC_IV_XII_cen12 chr2_17_153600_163200 NoFused armL CENTR2 TerminalTEL 78400 9.672
LC_IV_XII_cen12 chr2_18_163200_172800 NoFused armL CENTR2 TerminalTEL 68800 10.196
LC_IV_XII_cen12 chr2_19_172800_182400 NoFused armL CENTR2 TerminalTEL 59200 10.402
LC_IV_XII_cen12 chr2_20_182400_192000 NoFused armL CENTR2 TerminalTEL 49600 11.044
LC_IV_XII_cen12 chr2_21_192000_201600 NoFused armL CENTR2 TerminalTEL 40000 10.019
LC_IV_XII_cen12 chr2_22_201600_211200 NoFused armL CENTR2 TerminalTEL 30400 8.744
LC_IV_XII_cen12 chr2_23_211200_220800 NoFused armL CENTR2 TerminalTEL 20800 7.423
LC_IV_XII_cen12 chr2_24_220800_230400 NoFused armL CENTR2 TerminalTEL 11200 6.101
LC_IV_XII_cen12 chr2_25_230400_240000 NoFused armL CENTR2 TerminalTEL 1600 4.806
LC_IV_XII_cen12 chr2_26_240000_249600 NoFused armR CENTR2 TerminalTEL 8000 4.013
LC_IV_XII_cen12 chr2_27_249600_259200 NoFused armR CENTR2 TerminalTEL 17600 4.186
LC_IV_XII_cen12 chr2_28_259200_268800 NoFused armR CENTR2 TerminalTEL 27200 3.849
LC_IV_XII_cen12 chr2_29_268800_278400 NoFused armR CENTR2 TerminalTEL 36800 3.562
LC_IV_XII_cen12 chr2_30_278400_288000 NoFused armR CENTR2 TerminalTEL 46400 3.931
LC_IV_XII_cen12 chr2_31_288000_297600 NoFused armR CENTR2 TerminalTEL 56000 4.763
LC_IV_XII_cen12 chr2_32_297600_307200 NoFused armR CENTR2 TerminalTEL 65600 5.447
LC_IV_XII_cen12 chr2_33_307200_316800 NoFused armR CENTR2 TerminalTEL 75200 5.367
LC_IV_XII_cen12 chr2_34_316800_326400 NoFused armR CENTR2 TerminalTEL 84800 4.171
LC_IV_XII_cen12 chr2_35_326400_336000 NoFused armR CENTR2 TerminalTEL 94400 4.104
LC_IV_XII_cen12 chr2_36_336000_345600 NoFused armR CENTR2 TerminalTEL 104000 4.19
LC_IV_XII_cen12 chr2_37_345600_355200 NoFused armR CENTR2 TerminalTEL 113600 4.936
LC_IV_XII_cen12 chr2_38_355200_364800 NoFused armR CENTR2 TerminalTEL 123200 5.146
LC_IV_XII_cen12 chr2_39_364800_374400 NoFused armR CENTR2 TerminalTEL 132800 5.374
LC_IV_XII_cen12 chr2_40_374400_384000 NoFused armR CENTR2 TerminalTEL 142400 5.219
LC_IV_XII_cen12 chr2_41_384000_393600 NoFused armR CENTR2 TerminalTEL 152000 3.988
LC_IV_XII_cen12 chr2_42_393600_403200 NoFused armR CENTR2 TerminalTEL 161600 2.943
LC_IV_XII_cen12 chr2_43_403200_412800 NoFused armR CENTR2 TerminalTEL 171200 2.958
LC_IV_XII_cen12 chr2_44_412800_422400 NoFused armR CENTR2 TerminalTEL 180800 2.389
LC_IV_XII_cen12 chr2_45_422400_432000 NoFused armR CENTR2 TerminalTEL 190400 2.12
LC_IV_XII_cen12 chr2_46_432000_441600 NoFused armR CENTR2 TerminalTEL 200000 2.085
LC_IV_XII_cen12 chr2_47_441600_451200 NoFused armR CENTR2 TerminalTEL 209600 1.909
LC_IV_XII_cen12 chr2_48_451200_460800 NoFused armR CENTR2 TerminalTEL 219200 1.469
LC_IV_XII_cen12 chr2_49_460800_470400 NoFused armR CENTR2 TerminalTEL 228800 0.661
LC_IV_XII_cen12 chr2_50_470400_480000 NoFused armR CENTR2 TerminalTEL 238400 0.168
LC_IV_XII_cen12 chr2_51_480000_489600 NoFused armR CENTR2 TerminalTEL 248000 0.067
LC_IV_XII_cen12 chr2_52_489600_499200 NoFused armR CENTR2 TerminalTEL 257600 -0.492
LC_IV_XII_cen12 chr2_53_499200_508800 NoFused armR CENTR2 TerminalTEL 267200 -0.581
LC_IV_XII_cen12 chr2_54_508800_518400 NoFused armR CENTR2 TerminalTEL 276800 -1.167
LC_IV_XII_cen12 chr2_55_518400_528000 NoFused armR CENTR2 TerminalTEL 286400 -1.555
LC_IV_XII_cen12 chr2_56_528000_537600 NoFused armR TELR2 TerminalTEL 283200 -1.977
LC_IV_XII_cen12 chr2_57_537600_547200 NoFused armR TELR2 TerminalTEL 273600 -2.32
LC_IV_XII_cen12 chr2_58_547200_556800 NoFused armR TELR2 TerminalTEL 264000 -2.66
LC_IV_XII_cen12 chr2_59_556800_566400 NoFused armR TELR2 TerminalTEL 254400 -3.256
LC_IV_XII_cen12 chr2_60_566400_576000 NoFused armR TELR2 TerminalTEL 244800 -3.925
LC_IV_XII_cen12 chr2_61_576000_585600 NoFused armR TELR2 TerminalTEL 235200 -3.787
LC_IV_XII_cen12 chr2_62_585600_595200 NoFused armR TELR2 TerminalTEL 225600 -3.845
LC_IV_XII_cen12 chr2_63_595200_604800 NoFused armR TELR2 TerminalTEL 216000 -4.217
LC_IV_XII_cen12 chr2_64_604800_614400 NoFused armR TELR2 TerminalTEL 206400 -4.215
LC_IV_XII_cen12 chr2_65_614400_624000 NoFused armR TELR2 TerminalTEL 196800 -4.288
LC_IV_XII_cen12 chr2_66_624000_633600 NoFused armR TELR2 TerminalTEL 187200 -3.993
LC_IV_XII_cen12 chr2_67_633600_643200 NoFused armR TELR2 TerminalTEL 177600 -3.966
LC_IV_XII_cen12 chr2_68_643200_652800 NoFused armR TELR2 TerminalTEL 168000 -4.606
LC_IV_XII_cen12 chr2_69_652800_662400 NoFused armR TELR2 TerminalTEL 158400 -5.701
LC_IV_XII_cen12 chr2_70_662400_672000 NoFused armR TELR2 TerminalTEL 148800 -6.399
LC_IV_XII_cen12 chr2_71_672000_681600 NoFused armR TELR2 TerminalTEL 139200 -7.595
LC_IV_XII_cen12 chr2_72_681600_691200 NoFused armR TELR2 TerminalTEL 129600 -8.643
LC_IV_XII_cen12 chr2_73_691200_700800 NoFused armR TELR2 TerminalTEL 120000 -8.84
LC_IV_XII_cen12 chr2_74_700800_710400 NoFused armR TELR2 TerminalTEL 110400 -8.042
LC_IV_XII_cen12 chr2_75_710400_720000 NoFused armR TELR2 TerminalTEL 100800 -7.297
LC_IV_XII_cen12 chr2_76_720000_729600 NoFused armR TELR2 TerminalTEL 91200 -6.393
LC_IV_XII_cen12 chr2_77_729600_739200 NoFused armR TELR2 TerminalTEL 81600 -5.804
LC_IV_XII_cen12 chr2_78_739200_748800 NoFused armR TELR2 TerminalTEL 72000 -6.654
LC_IV_XII_cen12 chr2_79_748800_758400 NoFused armR TELR2 TerminalTEL 62400 -7.571
LC_IV_XII_cen12 chr2_80_758400_768000 NoFused armR TELR2 TerminalTEL 52800 -8.594
LC_IV_XII_cen12 chr2_81_768000_777600 NoFused armR TELR2 TerminalTEL 43200 -8.46
LC_IV_XII_cen12 chr2_82_777600_787200 NoFused armR TELR2 TerminalTEL 33600 -8.056
LC_IV_XII_cen12 chr2_83_787200_796800 NoFused armR TELR2 TerminalTEL 24000 -6.501
LC_IV_XII_cen12 chr2_84_796800_806400 NoFused armR TELR2 TerminalTEL 14400 -5.494
LC_IV_XII_cen12 chr2_85_806400_816000 NoFused armR TELR2 TerminalTEL 4800 -4.925
LC_IV_XII_cen12 chr3_1_0_9600 NoFused armL TELL3 TerminalTEL 4800 2.391
LC_IV_XII_cen12 chr3_2_9600_19200 NoFused armL TELL3 TerminalTEL 14400 2.512
LC_IV_XII_cen12 chr3_3_19200_28800 NoFused armL TELL3 TerminalTEL 24000 3.462
LC_IV_XII_cen12 chr3_4_28800_38400 NoFused armL TELL3 TerminalTEL 33600 2.994
LC_IV_XII_cen12 chr3_5_38400_48000 NoFused armL TELL3 TerminalTEL 43200 3.03
LC_IV_XII_cen12 chr3_6_48000_57600 NoFused armL TELL3 TerminalTEL 52800 3.647
LC_IV_XII_cen12 chr3_7_57600_67200 NoFused armL CENTR3 TerminalTEL 49600 3.66
LC_IV_XII_cen12 chr3_8_67200_76800 NoFused armL CENTR3 TerminalTEL 40000 4.146
LC_IV_XII_cen12 chr3_9_76800_86400 NoFused armL CENTR3 TerminalTEL 30400 4.64
LC_IV_XII_cen12 chr3_10_86400_96000 NoFused armL CENTR3 TerminalTEL 20800 4.292
LC_IV_XII_cen12 chr3_11_96000_105600 NoFused armL CENTR3 TerminalTEL 11200 4.046
LC_IV_XII_cen12 chr3_12_105600_115200 NoFused armL CENTR3 TerminalTEL 1600 3.573
LC_IV_XII_cen12 chr3_13_115200_124800 NoFused armR CENTR3 TerminalTEL 8000 3.055
LC_IV_XII_cen12 chr3_14_124800_134400 NoFused armR CENTR3 TerminalTEL 17600 1.991
LC_IV_XII_cen12 chr3_15_134400_144000 NoFused armR CENTR3 TerminalTEL 27200 0.827
LC_IV_XII_cen12 chr3_16_144000_153600 NoFused armR CENTR3 TerminalTEL 36800 -0.263
LC_IV_XII_cen12 chr3_17_153600_163200 NoFused armR CENTR3 TerminalTEL 46400 -0.121
LC_IV_XII_cen12 chr3_18_163200_172800 NoFused armR CENTR3 TerminalTEL 56000 -0.04
LC_IV_XII_cen12 chr3_19_172800_182400 NoFused armR CENTR3 TerminalTEL 65600 -0.425
LC_IV_XII_cen12 chr3_20_182400_192000 NoFused armR CENTR3 TerminalTEL 75200 -1.337
LC_IV_XII_cen12 chr3_21_192000_201600 NoFused armR CENTR3 TerminalTEL 84800 -1.84
LC_IV_XII_cen12 chr3_22_201600_211200 NoFused armR CENTR3 TerminalTEL 94400 -2.2
LC_IV_XII_cen12 chr3_23_211200_220800 NoFused armR TELR3 TerminalTEL 100800 -2.015
LC_IV_XII_cen12 chr3_24_220800_230400 NoFused armR TELR3 TerminalTEL 91200 -2.575
LC_IV_XII_cen12 chr3_25_230400_240000 NoFused armR TELR3 TerminalTEL 81600 -2.905
LC_IV_XII_cen12 chr3_26_240000_249600 NoFused armR TELR3 TerminalTEL 72000 -3.128
LC_IV_XII_cen12 chr3_27_249600_259200 NoFused armR TELR3 TerminalTEL 62400 -3.917
LC_IV_XII_cen12 chr3_28_259200_268800 NoFused armR TELR3 TerminalTEL 52800 -4.604
LC_IV_XII_cen12 chr3_29_268800_278400 NoFused armR TELR3 TerminalTEL 43200 -5.314
LC_IV_XII_cen12 chr3_30_278400_288000 NoFused armR TELR3 TerminalTEL 33600 -5.161
LC_IV_XII_cen12 chr3_31_288000_297600 NoFused armR TELR3 TerminalTEL 24000 -3.552
LC_IV_XII_cen12 chr3_32_297600_307200 NoFused armR TELR3 TerminalTEL 14400 -1.559
LC_IV_XII_cen12 chr3_33_307200_316800 NoFused armR TELR3 TerminalTEL 4800 -1.709
LC_IV_XII_cen12 chr4_1_0_9600 Donor armL TELL4 TerminalTEL 4800 -15.565
LC_IV_XII_cen12 chr4_2_9600_19200 Donor armL TELL4 TerminalTEL 14400 -16.483
LC_IV_XII_cen12 chr4_3_19200_28800 Donor armL TELL4 TerminalTEL 24000 -17.381
LC_IV_XII_cen12 chr4_4_28800_38400 Donor armL TELL4 TerminalTEL 33600 -18.314
LC_IV_XII_cen12 chr4_5_38400_48000 Donor armL TELL4 TerminalTEL 43200 -19.256
LC_IV_XII_cen12 chr4_6_48000_57600 Donor armL TELL4 TerminalTEL 52800 -20.072
LC_IV_XII_cen12 chr4_7_57600_67200 Donor armL TELL4 TerminalTEL 62400 -20.992
LC_IV_XII_cen12 chr4_8_67200_76800 Donor armL TELL4 TerminalTEL 72000 -22.13
LC_IV_XII_cen12 chr4_9_76800_86400 Donor armL TELL4 TerminalTEL 81600 -23.419
LC_IV_XII_cen12 chr4_10_86400_96000 Donor armL TELL4 TerminalTEL 91200 -24.733
LC_IV_XII_cen12 chr4_11_96000_105600 Donor armL TELL4 TerminalTEL 100800 -26.192
LC_IV_XII_cen12 chr4_12_105600_115200 Donor armL TELL4 TerminalTEL 110400 -27.747
LC_IV_XII_cen12 chr4_13_115200_124800 Donor armL TELL4 TerminalTEL 120000 -29.411
LC_IV_XII_cen12 chr4_14_124800_134400 Donor armL TELL4 TerminalTEL 129600 -30.903
LC_IV_XII_cen12 chr4_15_134400_144000 Donor armL TELL4 TerminalTEL 139200 -32.641
LC_IV_XII_cen12 chr4_16_144000_153600 Donor armL TELL4 TerminalTEL 148800 -35.521
LC_IV_XII_cen12 chr4_17_153600_163200 Donor armL TELL4 TerminalTEL 158400 -38.474
LC_IV_XII_cen12 chr4_18_163200_172800 Donor armL TELL4 TerminalTEL 168000 -40.473
LC_IV_XII_cen12 chr4_19_172800_182400 Donor armL TELL4 TerminalTEL 177600 -41.954
LC_IV_XII_cen12 chr4_20_182400_192000 Donor armL TELL4 TerminalTEL 187200 -44.084
LC_IV_XII_cen12 chr4_21_192000_201600 Donor armL TELL4 TerminalTEL 196800 -45.597
LC_IV_XII_cen12 chr4_22_201600_211200 Donor armL TELL4 TerminalTEL 206400 -47.177
LC_IV_XII_cen12 chr4_23_211200_220800 Donor armL TELL4 TerminalTEL 216000 -49.582
LC_IV_XII_cen12 chr4_24_220800_230400 Donor armL CENTR4 TerminalTEL 222400 -50.549
LC_IV_XII_cen12 chr4_25_230400_240000 Donor armL CENTR4 TerminalTEL 212800 -51.301
LC_IV_XII_cen12 chr4_26_240000_249600 Donor armL CENTR4 TerminalTEL 203200 -52.402
LC_IV_XII_cen12 chr4_27_249600_259200 Donor armL CENTR4 TerminalTEL 193600 -53.102
LC_IV_XII_cen12 chr4_28_259200_268800 Donor armL CENTR4 TerminalTEL 184000 -52.818
LC_IV_XII_cen12 chr4_29_268800_278400 Donor armL CENTR4 TerminalTEL 174400 -51.661
LC_IV_XII_cen12 chr4_30_278400_288000 Donor armL CENTR4 TerminalTEL 164800 -49.854
LC_IV_XII_cen12 chr4_31_288000_297600 Donor armL CENTR4 TerminalTEL 155200 -46.668
LC_IV_XII_cen12 chr4_32_297600_307200 Donor armL CENTR4 TerminalTEL 145600 -43.886
LC_IV_XII_cen12 chr4_33_307200_316800 Donor armL CENTR4 TerminalTEL 136000 -40.165
LC_IV_XII_cen12 chr4_34_316800_326400 Donor armL CENTR4 TerminalTEL 126400 -34.931
LC_IV_XII_cen12 chr4_35_326400_336000 Donor armL CENTR4 TerminalTEL 116800 -29.332
LC_IV_XII_cen12 chr4_36_336000_345600 Donor armL CENTR4 TerminalTEL 107200 -21.924
LC_IV_XII_cen12 chr4_37_345600_355200 Donor armL CENTR4 TerminalTEL 97600 -12.921
LC_IV_XII_cen12 chr4_38_355200_364800 Donor armL CENTR4 TerminalTEL 88000 -2.209
LC_IV_XII_cen12 chr4_39_364800_374400 Donor armL CENTR4 TerminalTEL 78400 9.399
LC_IV_XII_cen12 chr4_40_374400_384000 Donor armL CENTR4 TerminalTEL 68800 23.492
LC_IV_XII_cen12 chr4_41_384000_393600 Donor armL CENTR4 TerminalTEL 59200 38.336
LC_IV_XII_cen12 chr4_42_393600_403200 Donor armL CENTR4 TerminalTEL 49600 54.486
LC_IV_XII_cen12 chr4_43_403200_412800 Donor armL CENTR4 TerminalTEL 40000 72.902
LC_IV_XII_cen12 chr4_44_412800_422400 Donor armL CENTR4 TerminalTEL 30400 93.069
LC_IV_XII_cen12 chr4_45_422400_432000 Donor armL CENTR4 TerminalTEL 20800 114.736
LC_IV_XII_cen12 chr4_46_432000_441600 Donor armL CENTR4 TerminalTEL 11200 137.48
LC_IV_XII_cen12 chr4_47_441600_451200 Donor armL CENTR4 TerminalTEL 1600 155.909
LC_IV_XII_cen12 chr4_48_451200_460800 Donor armR CENTR4 InternalTEL 8000 150.363
LC_IV_XII_cen12 chr4_49_460800_470400 Donor armR CENTR4 InternalTEL 17600 128.607
LC_IV_XII_cen12 chr4_50_470400_480000 Donor armR CENTR4 InternalTEL 27200 104.982
LC_IV_XII_cen12 chr4_51_480000_489600 Donor armR CENTR4 InternalTEL 36800 82.645
LC_IV_XII_cen12 chr4_52_489600_499200 Donor armR CENTR4 InternalTEL 46400 62.823
LC_IV_XII_cen12 chr4_53_499200_508800 Donor armR CENTR4 InternalTEL 56000 44.953
LC_IV_XII_cen12 chr4_54_508800_518400 Donor armR CENTR4 InternalTEL 65600 29.211
LC_IV_XII_cen12 chr4_55_518400_528000 Donor armR CENTR4 InternalTEL 75200 15.352
LC_IV_XII_cen12 chr4_56_528000_537600 Donor armR CENTR4 InternalTEL 84800 3.01
LC_IV_XII_cen12 chr4_57_537600_547200 Donor armR CENTR4 InternalTEL 94400 -7.334
LC_IV_XII_cen12 chr4_58_547200_556800 Donor armR CENTR4 InternalTEL 104000 -16.694
LC_IV_XII_cen12 chr4_59_556800_566400 Donor armR CENTR4 InternalTEL 113600 -24.766
LC_IV_XII_cen12 chr4_60_566400_576000 Donor armR CENTR4 InternalTEL 123200 -31.393
LC_IV_XII_cen12 chr4_61_576000_585600 Donor armR CENTR4 InternalTEL 132800 -37.543
LC_IV_XII_cen12 chr4_62_585600_595200 Donor armR CENTR4 InternalTEL 142400 -43.061
LC_IV_XII_cen12 chr4_63_595200_604800 Donor armR CENTR4 InternalTEL 152000 -47.319
LC_IV_XII_cen12 chr4_64_604800_614400 Donor armR CENTR4 InternalTEL 161600 -50.925
LC_IV_XII_cen12 chr4_65_614400_624000 Donor armR CENTR4 InternalTEL 171200 -53.714
LC_IV_XII_cen12 chr4_66_624000_633600 Donor armR CENTR4 InternalTEL 180800 -55.117
LC_IV_XII_cen12 chr4_67_633600_643200 Donor armR CENTR4 InternalTEL 190400 -56.295
LC_IV_XII_cen12 chr4_68_643200_652800 Donor armR CENTR4 InternalTEL 200000 -56.958
LC_IV_XII_cen12 chr4_69_652800_662400 Donor armR CENTR4 InternalTEL 209600 -56.8
LC_IV_XII_cen12 chr4_70_662400_672000 Donor armR CENTR4 InternalTEL 219200 -55.786
LC_IV_XII_cen12 chr4_71_672000_681600 Donor armR CENTR4 InternalTEL 228800 -54.862
LC_IV_XII_cen12 chr4_72_681600_691200 Donor armR CENTR4 InternalTEL 238400 -52.877
LC_IV_XII_cen12 chr4_73_691200_700800 Donor armR CENTR4 InternalTEL 248000 -49.823
LC_IV_XII_cen12 chr4_74_700800_710400 Donor armR CENTR4 InternalTEL 257600 -47.933
LC_IV_XII_cen12 chr4_75_710400_720000 Donor armR CENTR4 InternalTEL 267200 -46.682
LC_IV_XII_cen12 chr4_76_720000_729600 Donor armR CENTR4 InternalTEL 276800 -44.866
LC_IV_XII_cen12 chr4_77_729600_739200 Donor armR CENTR4 InternalTEL 286400 -42.332
LC_IV_XII_cen12 chr4_78_739200_748800 Donor armR CENTR4 InternalTEL 296000 -39.502
LC_IV_XII_cen12 chr4_79_748800_758400 Donor armR CENTR4 InternalTEL 305600 -36.872
LC_IV_XII_cen12 chr4_80_758400_768000 Donor armR CENTR4 InternalTEL 315200 -34.052
LC_IV_XII_cen12 chr4_81_768000_777600 Donor armR CENTR4 InternalTEL 324800 -30.675
LC_IV_XII_cen12 chr4_82_777600_787200 Donor armR CENTR4 InternalTEL 334400 -27.335
LC_IV_XII_cen12 chr4_83_787200_796800 Donor armR CENTR4 InternalTEL 344000 -24.132
LC_IV_XII_cen12 chr4_84_796800_806400 Donor armR CENTR4 InternalTEL 353600 -21.438
LC_IV_XII_cen12 chr4_85_806400_816000 Donor armR CENTR4 InternalTEL 363200 -19.208
LC_IV_XII_cen12 chr4_86_816000_825600 Donor armR CENTR4 InternalTEL 372800 -17.362
LC_IV_XII_cen12 chr4_87_825600_835200 Donor armR CENTR4 InternalTEL 382400 -15.607
LC_IV_XII_cen12 chr4_88_835200_844800 Donor armR CENTR4 InternalTEL 392000 -14.089
LC_IV_XII_cen12 chr4_89_844800_854400 Donor armR CENTR4 InternalTEL 401600 -12.277
LC_IV_XII_cen12 chr4_90_854400_864000 Donor armR CENTR4 InternalTEL 411200 -9.818
LC_IV_XII_cen12 chr4_91_864000_873600 Donor armR CENTR4 InternalTEL 420800 -7.319
LC_IV_XII_cen12 chr4_92_873600_883200 Donor armR CENTR4 InternalTEL 430400 -5.628
LC_IV_XII_cen12 chr4_93_883200_892800 Donor armR CENTR4 InternalTEL 440000 -4.13
LC_IV_XII_cen12 chr4_94_892800_902400 Donor armR CENTR4 InternalTEL 449600 -2.842
LC_IV_XII_cen12 chr4_95_902400_912000 Donor armR CENTR4 InternalTEL 459200 -2.032
LC_IV_XII_cen12 chr4_96_912000_921600 Donor armR CENTR4 InternalTEL 468800 -0.264
LC_IV_XII_cen12 chr4_97_921600_931200 Donor armR CENTR4 InternalTEL 478400 1.358
LC_IV_XII_cen12 chr4_98_931200_940800 Donor armR CENTR4 InternalTEL 488000 2.234
LC_IV_XII_cen12 chr4_99_940800_950400 Donor armR CENTR4 InternalTEL 497600 2.714
LC_IV_XII_cen12 chr4_100_950400_960000 Donor armR CENTR4 InternalTEL 507200 3.89
LC_IV_XII_cen12 chr4_101_960000_969600 Donor armR CENTR4 InternalTEL 516800 6.063
LC_IV_XII_cen12 chr4_102_969600_979200 Donor armR CENTR4 InternalTEL 526400 8.124
LC_IV_XII_cen12 chr4_103_979200_988800 Donor armR CENTR4 InternalTEL 536000 9.743
LC_IV_XII_cen12 chr4_104_988800_998400 Donor armR TELR4 InternalTEL 542400 11.168
LC_IV_XII_cen12 chr4_105_998400_1008000 Donor armR TELR4 InternalTEL 532800 12.328
LC_IV_XII_cen12 chr4_106_1008000_1017600 Donor armR TELR4 InternalTEL 523200 13.539
LC_IV_XII_cen12 chr4_107_1017600_1027200 Donor armR TELR4 InternalTEL 513600 14.887
LC_IV_XII_cen12 chr4_108_1027200_1036800 Donor armR TELR4 InternalTEL 504000 15.673
LC_IV_XII_cen12 chr4_109_1036800_1046400 Donor armR TELR4 InternalTEL 494400 15.397
LC_IV_XII_cen12 chr4_110_1046400_1056000 Donor armR TELR4 InternalTEL 484800 15.06
LC_IV_XII_cen12 chr4_111_1056000_1065600 Donor armR TELR4 InternalTEL 475200 15.999
LC_IV_XII_cen12 chr4_112_1065600_1075200 Donor armR TELR4 InternalTEL 465600 17.331
LC_IV_XII_cen12 chr4_113_1075200_1084800 Donor armR TELR4 InternalTEL 456000 18.755
LC_IV_XII_cen12 chr4_114_1084800_1094400 Donor armR TELR4 InternalTEL 446400 19.547
LC_IV_XII_cen12 chr4_115_1094400_1104000 Donor armR TELR4 InternalTEL 436800 19.893
LC_IV_XII_cen12 chr4_116_1104000_1113600 Donor armR TELR4 InternalTEL 427200 20.21
LC_IV_XII_cen12 chr4_117_1113600_1123200 Donor armR TELR4 InternalTEL 417600 20.304
LC_IV_XII_cen12 chr4_118_1123200_1132800 Donor armR TELR4 InternalTEL 408000 21.159
LC_IV_XII_cen12 chr4_119_1132800_1142400 Donor armR TELR4 InternalTEL 398400 22.047
LC_IV_XII_cen12 chr4_120_1142400_1152000 Donor armR TELR4 InternalTEL 388800 23.375
LC_IV_XII_cen12 chr4_121_1152000_1161600 Donor armR TELR4 InternalTEL 379200 24.564
LC_IV_XII_cen12 chr4_122_1161600_1171200 Donor armR TELR4 InternalTEL 369600 25.789
LC_IV_XII_cen12 chr4_123_1171200_1180800 Donor armR TELR4 InternalTEL 360000 27.2
LC_IV_XII_cen12 chr4_124_1180800_1190400 Donor armR TELR4 InternalTEL 350400 28.418
LC_IV_XII_cen12 chr4_125_1190400_1200000 Donor armR TELR4 InternalTEL 340800 29.556
LC_IV_XII_cen12 chr4_126_1200000_1209600 Donor armR TELR4 InternalTEL 331200 31.17
LC_IV_XII_cen12 chr4_127_1209600_1219200 Donor armR TELR4 InternalTEL 321600 32.147
LC_IV_XII_cen12 chr4_128_1219200_1228800 Donor armR TELR4 InternalTEL 312000 34.109
